family,space,layer,condition,kind,pos_bucket,mean,lo,hi,n_prompts
base,suca,8,shifted,raw,-70,0.0013441650080494583,0.0004970460431650281,0.0021912839729338884,2
base,suca,8,shifted,raw,-60,0.010596238891594112,0.0020508707966655493,0.019141606986522675,2
base,suca,8,shifted,raw,-50,0.008087525304290466,0.0004859886539634317,0.0156890619546175,2
base,suca,8,shifted,raw,-40,0.007775816164212301,0.0006957455188967288,0.014855886809527874,2
base,suca,8,shifted,raw,-30,0.006934319972060621,0.0009893558453768492,0.012879284098744392,2
base,suca,8,shifted,raw,-20,0.032500296969374176,0.0002121704601449892,0.06478842347860336,2
base,suca,8,shifted,raw,-10,0.013243403498563566,4.8472040361957625e-05,0.026438334956765175,2
base,suca,8,shifted,raw,0,0.399042010307312,0.286346435546875,0.511737585067749,2
base,suca,8,shifted,raw,10,0.8137415647506714,0.7770885229110718,0.850394606590271,2
base,suca,8,shifted,raw,20,0.7564741373062134,0.6819449067115784,0.8310033679008484,2
base,suca,8,shifted,raw,30,0.6767563819885254,0.5533612966537476,0.8001514673233032,2
base,suca,8,shifted,raw,40,0.5236068665981293,0.45690852403640747,0.5903052091598511,2
base,suca,8,shifted,raw,50,0.48109297454357147,0.47118324041366577,0.4910027086734772,2
base,suca,8,shifted,raw,60,0.680248960852623,0.45390215516090393,0.906595766544342,2
base,suca,8,shifted,raw,70,0.756261944770813,0.756261944770813,0.756261944770813,1
base,suca,8,shifted,raw,80,0.3159388601779938,0.3159388601779938,0.3159388601779938,1
base,suca,8,shifted,raw,90,0.24991083145141602,0.24991083145141602,0.24991083145141602,1
base,suca,8,shifted,raw_system,-100,0.08553200960159302,0.017067432403564453,0.15399658679962158,2
base,suca,8,shifted,raw_system,-90,0.043112851679325104,0.02072349190711975,0.06550221145153046,2
base,suca,8,shifted,raw_system,-80,0.003506548353470862,0.0022746713366359472,0.004738425370305777,2
base,suca,8,shifted,raw_system,-70,0.00463748665060848,0.0027012114878743887,0.006573761813342571,2
base,suca,8,shifted,raw_system,-60,0.0068726163590326905,0.0031886298675090075,0.010556602850556374,2
base,suca,8,shifted,raw_system,-50,0.007925273501314223,0.0029608618933707476,0.012889685109257698,2
base,suca,8,shifted,raw_system,-40,0.055908690206706524,0.014841517433524132,0.09697586297988892,2
base,suca,8,shifted,raw_system,-30,0.02854814473539591,0.01690700091421604,0.040189288556575775,2
base,suca,8,shifted,raw_system,-20,0.04405989870429039,0.01567612588405609,0.07244367152452469,2
base,suca,8,shifted,raw_system,-10,0.22543607791885734,0.007372531108558178,0.4434996247291565,2
base,suca,8,shifted,raw_system,0,0.024769373703747988,0.00435230229049921,0.045186445116996765,2
base,suca,8,shifted,raw_system,10,0.0006795806857553544,1.7082467820728198e-05,0.0013420789036899805,2
base,suca,8,shifted,raw_system,20,0.00016427579748778953,6.870071047160309e-06,0.00032168152392841876,2
base,suca,8,shifted,raw_system,30,6.792683052481152e-05,6.368677713908255e-05,7.216688391054049e-05,2
base,suca,8,shifted,raw_system,40,0.00011471277684904635,7.102637027855963e-05,0.00015839918341953307,2
base,suca,8,shifted,raw_system,50,0.0001580739626660943,0.0001469658745918423,0.0001691820507403463,2
base,suca,8,shifted,raw_system,60,5.245404645393137e-05,4.668915789807215e-05,5.8218935009790584e-05,2
