layer,condition,token_set,smoothing,token_in_prompt_ix,mean,ci_lo,ci_hi,n,input_set
8,none,content,raw,33,0.90021497,0.8488,0.9651992,3,neutral
8,none,content,raw,34,0.9366567,0.8952927,0.98131067,3,neutral
8,none,content,raw,35,0.8427828,0.7514989,0.96881694,3,neutral
8,none,content,raw,36,0.8417823,0.6698446,0.97404885,3,neutral
8,none,content,raw,37,0.8834369,0.8223842,0.966923,3,neutral
8,none,content,raw,38,0.89962214,0.8764803,0.92181826,3,neutral
8,none,content,raw,39,0.86142635,0.782777,0.96984965,3,neutral
8,none,content,raw,40,0.76466113,0.6330359,0.9428966,3,neutral
8,none,content,raw,41,0.6665668,0.53496414,0.91469336,3,neutral
8,none,content,raw,42,0.8782585,0.68800086,0.99288684,3,neutral
8,none,content,raw,43,0.70888394,0.28218108,0.9325374,3,neutral
8,none,content,raw,44,0.93547887,0.8601945,0.9755071,3,neutral
8,none,content,raw,45,0.7298693,0.24880342,0.98516434,3,neutral
8,none,content,raw,46,0.80517286,0.54503816,0.9537819,3,neutral
8,none,content,raw,47,0.89739656,0.78186494,0.9736256,3,neutral
8,none,content,raw,48,0.76552844,0.41339326,0.972717,3,neutral
8,none,content,raw,49,0.7522897,0.52214235,0.97485274,3,neutral
8,none,content,raw,50,0.81594247,0.59702945,0.98495954,3,neutral
8,none,content,raw,51,0.8536506,0.76852375,0.92118496,3,neutral
8,none,content,raw,52,0.7759309,0.48199153,0.9948365,3,neutral
8,none,content,raw,53,0.9620471,0.95838946,0.96639484,3,neutral
8,none,content,raw,54,0.9698164,0.9519735,0.9890781,3,neutral
8,none,content,raw,55,0.9767682,0.96231747,0.9967068,3,neutral
8,none,content,raw,56,0.906693,0.85657597,0.9958795,3,neutral
8,none,content,raw,57,0.9575727,0.9210146,0.99490005,3,neutral
8,none,content,raw,58,0.9308788,0.88212746,0.9854748,3,neutral
8,none,content,raw,59,0.90986234,0.8242623,0.99560744,3,neutral
8,none,content,raw,60,0.8817006,0.8238127,0.9658053,3,neutral
8,none,content,raw,61,0.887064,0.7943376,0.98194283,3,neutral
8,none,content,raw,62,0.86103374,0.77099466,0.98069745,3,neutral
8,none,content,raw,63,0.9543449,0.94753534,0.9647425,3,neutral
8,none,content,raw,64,0.92538756,0.8641363,0.9894002,3,neutral
8,none,content,raw,65,0.9130712,0.84561795,0.97637933,3,neutral
8,none,content,raw,66,0.95535475,0.90395135,0.9930005,3,neutral
8,none,content,raw,67,0.8976155,0.84243816,0.9751342,3,neutral
8,none,content,raw,68,0.91761094,0.8656011,0.97488815,3,neutral
8,none,content,raw,69,0.9168468,0.8588617,0.96706253,3,neutral
8,none,content,raw,70,0.84925413,0.78500634,0.9625773,3,neutral
8,none,content,raw,71,0.92694145,0.8917958,0.97662205,3,neutral
8,none,content,raw,72,0.8795832,0.8437149,0.94542676,3,neutral
8,none,content,raw,73,0.80388516,0.7710356,0.8384022,3,neutral
8,none,content,raw,74,0.8870923,0.8427365,0.9520145,3,neutral
8,none,content,raw,75,0.88977957,0.82612723,0.9690211,3,neutral
8,none,content,raw,76,0.864856,0.7856693,0.9696679,3,neutral
8,none,content,raw,77,0.8888337,0.87578917,0.91268784,3,neutral
8,none,content,raw,78,0.85405254,0.8244385,0.8921229,3,neutral
8,none,content,raw,79,0.90909964,0.8266502,0.9972289,3,neutral
8,none,content,raw,80,0.8924846,0.8127623,0.98932964,3,neutral
8,none,content,raw,81,0.93344146,0.87946254,0.996805,3,neutral
8,none,content,raw,82,0.91446286,0.8707202,0.9660049,3,neutral
8,none,content,raw,83,0.9521777,0.92663306,0.9863226,3,neutral
8,none,content,raw,84,0.9099176,0.8465032,0.99030113,3,neutral
8,none,content,raw,85,0.92527825,0.8970775,0.95559496,3,neutral
8,none,content,raw,86,0.91042614,0.88496083,0.9548314,3,neutral
8,none,content,raw,87,0.92586106,0.8861905,0.96739966,3,neutral
8,none,content,raw,88,0.7990734,0.7796311,0.8188951,3,neutral
8,none,content,raw,89,0.8834347,0.7815687,0.953391,3,neutral
8,none,content,raw,90,0.8782055,0.8099869,0.9840853,3,neutral
