layer,condition,token_set,smoothing,token_in_prompt_ix,mean,ci_lo,ci_hi,n,input_set
8,none,content,raw,79,0.73789436,0.7022735,0.77290237,188,neutral
8,none,content,raw,80,0.7647662,0.7273177,0.79451615,188,neutral
8,none,content,raw,81,0.75702167,0.7225165,0.79020774,188,neutral
8,none,content,raw,82,0.74341244,0.7039859,0.7781836,188,neutral
8,none,content,raw,83,0.762693,0.72924376,0.7967785,188,neutral
8,none,content,raw,84,0.7500153,0.7080954,0.7798034,188,neutral
8,none,content,raw,85,0.752291,0.7163487,0.7794431,188,neutral
8,none,content,raw,86,0.7490208,0.7162504,0.7827437,188,neutral
8,none,content,raw,87,0.7286768,0.6925147,0.76308537,188,neutral
8,none,content,raw,88,0.74528974,0.7080215,0.77619773,188,neutral
8,none,content,raw,89,0.7536008,0.7178392,0.7911599,188,neutral
8,none,content,raw,90,0.7224467,0.6837471,0.7593234,188,neutral
8,none,content,raw,91,0.7227801,0.6816679,0.7627928,188,neutral
8,none,content,raw,92,0.7579023,0.7151921,0.79002017,187,neutral
8,none,content,raw,93,0.76862234,0.7310159,0.7983263,187,neutral
8,none,content,raw,94,0.73338246,0.6932221,0.7707503,187,neutral
8,none,content,raw,95,0.7364162,0.70144063,0.76942027,186,neutral
8,none,content,raw,96,0.73507196,0.6906471,0.76769084,186,neutral
8,none,content,raw,97,0.7441471,0.69935095,0.78157157,186,neutral
8,none,content,raw,98,0.74032134,0.7050049,0.7740774,184,neutral
8,none,content,raw,99,0.70853823,0.6668014,0.7456614,184,neutral
8,none,content,raw,100,0.704883,0.6659625,0.74440914,184,neutral
8,none,content,raw,101,0.7389354,0.6987602,0.77937996,184,neutral
8,none,content,raw,102,0.72137004,0.68162036,0.7554176,184,neutral
8,none,content,raw,103,0.72144115,0.6776031,0.7544287,183,neutral
8,none,content,raw,104,0.7135535,0.6695028,0.7473654,183,neutral
8,none,content,raw,105,0.7387221,0.6899408,0.7767869,183,neutral
8,none,content,raw,106,0.7349684,0.6940793,0.7679317,183,neutral
8,none,content,raw,107,0.726392,0.686062,0.76435196,183,neutral
8,none,content,raw,108,0.7404601,0.70318824,0.7784033,183,neutral
8,none,content,raw,109,0.7188788,0.6829775,0.7505766,183,neutral
8,none,content,raw,110,0.7149259,0.6719711,0.7535111,183,neutral
8,none,content,raw,111,0.72492623,0.6833276,0.7588669,182,neutral
8,none,content,raw,112,0.72173333,0.68557113,0.75172573,182,neutral
8,none,content,raw,113,0.7245748,0.68445945,0.7584112,182,neutral
8,none,content,raw,114,0.7452069,0.7044685,0.7770725,182,neutral
8,none,content,raw,115,0.74757445,0.71080357,0.77916557,181,neutral
